datetime,gsr,ir,accel_mag,gyro_mag,mag_mag,label
2025-04-18 08:00:00,-88.76,55802,1.03,0.1,0.84,hydrated
2025-04-18 08:01:00,-147.1,51464,0.99,0.1,0.88,mildly_dehydrated
2025-04-18 08:02:00,-247.94,47819,0.98,0.08,0.83,dehydrated
2025-04-18 08:03:00,-219.58,45148,0.98,0.04,0.83,dehydrated
2025-04-18 08:04:00,-119.41,48557,0.95,0.04,0.91,mildly_dehydrated
2025-04-18 08:05:00,-94.01,54056,0.99,0.06,0.85,hydrated
2025-04-18 08:06:00,-189.25,43023,0.97,0.06,0.83,dehydrated
2025-04-18 08:07:00,-237.8,44971,1.09,0.09,0.8,dehydrated
2025-04-18 08:08:00,-90.65,54080,0.93,0.07,0.88,hydrated
2025-04-18 08:09:00,-97.35,52783,1.01,0.07,0.84,hydrated
2025-04-18 08:10:00,-88.34,53085,0.98,0.09,0.86,hydrated
2025-04-18 08:11:00,-235.91,46813,0.91,0.06,0.87,dehydrated
2025-04-18 08:12:00,-249.45,46892,1.05,0.09,0.82,dehydrated
2025-04-18 08:13:00,-163.69,45739,0.98,0.06,0.84,dehydrated
2025-04-18 08:14:00,-218.9,43951,1.04,0.1,0.85,dehydrated
2025-04-18 08:15:00,-96.41,54852,1.05,0.08,0.91,hydrated
2025-04-18 08:16:00,-111.45,49975,0.87,0.09,0.85,mildly_dehydrated
2025-04-18 08:17:00,-134.28,50034,0.99,0.07,0.86,mildly_dehydrated
2025-04-18 08:18:00,-87.69,55022,0.96,0.06,0.89,hydrated
2025-04-18 08:19:00,-75.89,52746,1.02,0.07,0.89,hydrated
2025-04-18 08:20:00,-75.78,55584,0.96,0.06,0.83,hydrated
2025-04-18 08:21:00,-109.1,51442,0.93,0.07,0.84,mildly_dehydrated
2025-04-18 08:22:00,-87.48,52888,0.98,0.05,0.84,hydrated
2025-04-18 08:23:00,-124.06,50812,1.02,0.08,0.85,mildly_dehydrated
2025-04-18 08:24:00,-71.13,53007,0.9,0.07,0.85,hydrated
2025-04-18 08:25:00,-244.85,43671,1.12,0.07,0.86,dehydrated
2025-04-18 08:26:00,-95.65,53957,1.06,0.09,0.88,hydrated
2025-04-18 08:27:00,-88.97,54529,0.95,0.08,0.94,hydrated
2025-04-18 08:28:00,-145.49,51341,0.95,0.06,0.85,mildly_dehydrated
2025-04-18 08:29:00,-116.12,48066,0.97,0.04,0.85,mildly_dehydrated
2025-04-18 08:30:00,-117.74,48697,0.95,0.1,0.82,mildly_dehydrated
2025-04-18 08:31:00,-157.53,47264,0.98,0.09,0.8,dehydrated
2025-04-18 08:32:00,-109.14,50220,0.92,0.07,0.86,mildly_dehydrated
2025-04-18 08:33:00,-133.05,49396,1.04,0.08,0.86,mildly_dehydrated
2025-04-18 08:34:00,-73.39,55119,0.97,0.07,0.86,hydrated
